gnote		snote		dnote
36.190		40.000		36.460		3.810		3.540		0.270
45.560		49.000		45.620		3.440		3.380		0.060
43.060		47.000		43.470		3.940		3.530		0.410
40.830		45.000		40.830		4.170		4.170		0.000
36.190		40.000		36.210		3.810		3.790		0.020
36.190		40.000		36.460		3.810		3.540		0.270
44.770		49.000		44.600		4.230		4.400		0.170
43.360		47.000		43.440		3.640		3.560		0.080
40.830		45.000		40.900		4.170		4.100		0.070
38.280		42.000		38.360		3.720		3.640		0.080
38.280		42.000		38.360		3.720		3.640		0.080
45.300		50.000		45.270		4.700		4.730		0.030
45.030		49.000		44.950		3.970		4.050		0.080
39.420		47.000		39.780		7.580		7.220		0.360
39.790		44.000		39.880		4.210		4.120		0.090
47.510		52.000		47.840		4.490		4.160		0.330
48.190		52.000		48.610		3.810		3.390		0.420
45.820		50.000		45.820		4.180		4.180		0.000
43.060		47.000		42.860		3.940		4.140		0.200
45.030		49.000		45.000		3.970		4.000		0.030
35.740		40.000		35.700		4.260		4.300		0.040
44.770		49.000		44.650		4.230		4.350		0.120
42.760		47.000		42.970		4.240		4.030		0.210
40.490		45.000		40.360		4.510		4.640		0.130
35.740		40.000		35.550		4.260		4.450		0.190
35.740		40.000		35.740		4.260		4.260		0.000
44.770		49.000		44.430		4.230		4.570		0.340
43.060		47.000		43.230		3.940		3.770		0.170
41.170		45.000		41.010		3.830		3.990		0.160
38.280		42.000		38.260		3.720		3.740		0.020
37.880		42.000		37.970		4.120		4.030		0.090
45.300		50.000		45.540		4.700		4.460		0.240
45.300		49.000		45.300		3.700		3.700		0.000
42.760		47.000		42.870		4.240		4.130		0.110
47.740		52.000		47.930		4.260		4.070		0.190
48.410		52.000		48.030		3.590		3.970		0.380
47.970		52.000		47.970		4.030		4.030		0.000
49.880		54.000		49.800		4.120		4.200		0.080
47.970		52.000		47.970		4.030		4.030		0.000
45.820		50.000		46.150		4.180		3.850		0.330
42.450		47.000		42.140		4.550		4.860		0.310
40.830		45.000		40.760		4.170		4.240		0.070
0.000		0.000		1.000
